marca;modelo;pais;year_modelo;clase;sub_clase;avaluo;cilindraje;tipo_combustible
VOLKSWAGEN;AMAROK BI TDI PLUS AC 2.0 CD 4X4 TM DIESEL;ECUADOR;2017;CAMIONETA;DOBLE CABINA;31992.0;2000;DIESEL
CHEVROLET;AVEO GTI AC 1.6 3P 4X2 TM;COLOMBIA;2009;AUTOMOVIL;COUPE;344.19;1600;GASOLINA
GREAT WALL;GREAT WALL H5 TURBO AC 2.0 5P 4X4 TM;ECUADOR;2016;JEEP;JEEP;19494.0;1997;GASOLINA
KIA;CERATO STD AC 1.6 4P 4X2 TA;ECUADOR;2015;AUTOMOVIL;SEDAN;10236.0;1600;GASOLINA
FORD;EXPLORER XLT AC 3.5 5P 4X4 TA;ESTADOS UNIDOS;2017;JEEP;JEEP;55992.0;3497;GASOLINA
BRILLIANCE;V3 AC 1.5 5P 4X2 TA;CHINA POPULAR;2019;JEEP;JEEP;19990.0;1498;GASOLINA
JEEP;PATRIOT SPORT AC 2.0 5P 4X2 TA;ESTADOS UNIDOS;2015;JEEP;JEEP;19764.62;2000;GASOLINA
KIA;CARENS AC 1.7 5P 4X2 TM DIESEL;COREA DEL SUR;2015;CAMIONETA;FURGONETA;16937.42;1700;DIESEL
NISSAN;X-TRAIL SENSE CVT AC 2.5 5P 4X2 TA;JAPON;2016;JEEP;JEEP;23997.0;2500;GASOLINA
VOLKSWAGEN;TIGUAN TREND FUN 5N20N2 AC 2.0 5P 4X4 TM;ALEMANIA;2016;JEEP;JEEP;29999.4;1984;GASOLINA
VOLVO;XC60 D4 AC 2.4 5P 4X4 TA DIESEL;SUECIA;2015;JEEP;JEEP;37723.68;2400;DIESEL
